Rank,County,Per_capital_income,Median_household_income,Median_family_income,Population,Number_of_household
70,Aitkin,22966,40226,47074,16202,7299
7,Anoka,29347,69028,78603,330844,121227
40,Becker,24385,46056,55907,32504,13224
82,Beltrami,21016,43394,54781,44442,16846
55,Benton,23648,50848,63566,38451,15079
52,Big Stone,23746,42870,54034,5269,2293
54,Blue Earth,23691,47871,63702,64013,24445
34,Brown,24591,47696,60078,25893,10782
48,Carlton,23932,52858,61425,35386,13538
3,Carver,35807,80280,92412,91042,32891
41,Cass,24348,42445,51063,28567,11948
57,Chippewa,23610,43956,58769,12441,5241
16,Chisago,26576,64726,72093,53887,19470
68,Clay,23011,50057,65678,58999,22279
85,Clearwater,20913,39310,46566,8695,3527
9,Cook,28873,49162,56146,5176,2494
64,Cottonwood,23162,40292,51705,11687,4857
43,Crow Wing,24282,44659,55554,62500,26033
4,Dakota,34142,72850,87445,398552,152060
15,Dodge,26969,64438,75170,20087,7460
23,Douglas,25633,46789,59953,36009,15289
74,Faribault,22667,41631,53946,14553,6236
50,Fillmore,23758,45888,59034,20866,8545
56,Freeborn,23645,43090,56774,31255,13177
12,Goodhue,27472,56366,68217,46183,18730
61,Grant,23233,41697,52599,6018,2601
2,Hennepin,35902,61328,81043,1152425,475913
31,Houston,24865,50855,63523,19027,7849
39,Hubbard,24413,45066,53876,20428,8661
25,Isanti,25165,57260,66806,37816,13972
59,Itasca,23465,45621,56890,45058,18773
26,Jackson,25144,46869,59238,10266,4429
81,Kanabec,21304,45672,51856,16239,6413
21,Kandiyohi,25844,49512,60812,42239,16732
28,Kittson,25030,47568,61890,4552,1986
36,Koochiching,24576,39571,57963,13311,5874
42,Lac Qui Parle,24291,45550,54522,7259,3155
18,Lake,26087,46765,57462,10866,4825
14,Lake of the Woods,27192,46080,51161,4045,1784
19,Le Sueur,25958,57477,68053,27703,10758
30,Lincoln,24922,44672,58953,5896,2574
51,Lyon,23755,46872,63793,25857,10227
87,Mahnomen,17999,38523,45265,5413,2019
37,Marshall,24552,48565,61300,9439,3981
24,Martin,25321,43960,57139,20840,9035
11,McLeod,27590,58544,69289,36651,14639
49,Meeker,23839,51173,59495,23300,9176
78,Mille Lacs,21744,45273,55523,26097,10166
71,Morrison,22934,47085,56481,33198,13080
53,Mower,23740,44497,58476,39163,15828
46,Murray,24045,45657,54647,8725,3717
22,Nicollet,25656,57540,69653,32727,12201
84,Nobles,20953,43040,52356,21378,7946
72,Norman,22817,41784,53530,6852,2863
6,Olmsted,32704,64090,79422,144248,57080
60,Otter Tail,23445,43478,53391,57303,24055
73,Pennington,22687,44926,56820,13930,5836
80,Pine,21328,43938,51504,29750,11373
76,Pipestone,22289,40589,55609,9596,4054
66,Polk,23105,47233,62601,31600,12704
20,Pope,25935,47196,58581,10995,4736
8,Ramsey,28956,51915,69079,508640,202691
62,Red Lake,23171,47835,56210,4089,1737
58,Redwood,23548,44181,55829,16059,6580
47,Renville,23956,47623,56568,15730,6564
33,Rice,24678,58771,69796,64142,22315
67,Rock,23079,45411,58147,9687,3918
69,Roseau,22975,49400,55962,15629,6300
5,Scott,33612,82190,92408,129928,45108
13,Sherburne,27376,71704,79789,88499,30212
45,Sibley,24073,51449,60948,15226,6034
29,St. Louis,25014,44941,60136,200226,84783
32,Stearns,24816,51779,65475,150642,56232
27,Steele,25062,55321,67105,36576,14330
35,Stevens,24585,47055,65283,9726,3726
79,Swift,21571,41486,55278,9783,4236
83,Todd,21014,42927,50755,24895,9756
44,Traverse,24188,41287,54485,3558,1524
17,Wabasha,26282,51112,62917,21676,8822
86,Wadena,19344,34686,47898,13843,5705
65,Waseca,23121,50552,60975,19136,7281
1,Washington,36248,79109,92087,238136,87859
75,Watonwan,22334,44228,55104,11211,4520
38,Wilkin,24447,48692,57973,6576,2690
77,Winona,21864,44217,62679,51461,19554
10,Wright,28454,67963,76641,124700,44473
63,Yellow Medicine,23171,50288,58491,10438,4292